Rank,Median Household Income ▼,Zip / Population
353,"$82,005","92708 / 57,441"
354,"$81,980","94954 / 36,624"
355,"$81,973","92106 / 19,539"
356,"$81,918","94503 / 20,116"
357,"$81,907","94061 / 37,667"
358,"$81,879","94947 / 25,969"
359,"$81,860","95688 / 35,820"
360,"$81,788","94574 / 9,300"
361,"$81,746","94706 / 20,206"
362,"$81,685","94523 / 34,428"
363,"$81,667","94525 / 3,151"
364,"$81,622","94038 / 3,435"
365,"$81,471","95618 / 27,222"
366,"$81,379","91901 / 18,184"
367,"$81,369","94066 / 42,100"
368,"$81,328","96073 / 4,502"
369,"$81,308","93105 / 24,967"
370,"$81,250","91741 / 25,678"
371,"$81,093","95492 / 29,629"
372,"$81,025","90291 / 27,803"
373,"$80,729",92384 / 34
374,"$80,625","92124 / 30,196"
375,"$80,479","91030 / 25,914"
376,"$80,449","95835 / 39,073"
377,"$80,341",94104 / 223
378,"$80,327","94542 / 12,498"
379,"$80,313",96106 / 275
380,"$80,288",93962 / 939
381,"$80,279","91311 / 37,769"
382,"$80,278","90620 / 45,992"
383,"$80,233","94005 / 4,421"
383,"$80,233","95624 / 63,131"
385,"$80,163","92821 / 37,580"
386,"$80,133","95073 / 10,849"
387,"$80,132","92626 / 51,575"
388,"$80,130","92377 / 19,750"
389,"$80,037","92870 / 53,474"
390,"$79,895","92120 / 25,365"
391,"$79,858","90638 / 49,543"
392,"$79,525","90815 / 40,572"
393,"$79,485",94963 / 461
394,"$79,457","95372 / 1,969"
395,"$79,348","92082 / 19,825"
396,"$79,327","95664 / 1,135"
397,"$79,121","95693 / 5,943"
398,"$78,856","94596 / 20,778"
399,"$78,756","90405 / 28,535"
400,"$78,750",96061 / 19
401,"$78,676","94619 / 24,146"
402,"$78,640","95304 / 17,971"
403,"$78,630","92561 / 1,600"
404,"$78,607","90069 / 20,426"
405,"$78,564","94015 / 62,941"
406,"$78,558",95251 / 874
407,"$78,501","91773 / 33,869"
408,"$78,378","94080 / 66,002"
409,"$78,175","90712 / 32,015"
410,"$78,116","92506 / 45,993"
411,"$78,114","95452 / 1,314"
412,"$78,082","90045 / 41,453"
413,"$78,072","92867 / 44,569"
414,"$77,930","93611 / 48,597"
415,"$77,706","94561 / 38,481"
416,"$77,679","91505 / 31,133"
416,"$77,679",93424 / 853
418,"$77,583","95918 / 1,805"
419,"$77,416","95682 / 29,972"
420,"$77,361","92065 / 36,039"
421,"$77,305",94923 / 736
422,"$77,250",93928 / 362
423,"$77,247","91344 / 53,165"
424,"$77,188",95699 / 148
425,"$77,152","91367 / 42,029"
426,"$77,105","92563 / 57,605"
427,"$77,092","93720 / 46,153"
428,"$77,047","90503 / 45,518"
429,"$76,994","91701 / 40,822"
430,"$76,912","91750 / 33,969"
431,"$76,909","94901 / 42,027"
432,"$76,688","90056 / 8,380"
433,"$76,669","94553 / 48,891"
434,"$76,542","95236 / 3,829"
435,"$76,526","92251 / 22,348"
436,"$76,447","91745 / 55,237"
437,"$76,389","95722 / 4,524"
438,"$76,232","94803 / 25,998"
439,"$76,027","93004 / 30,417"
440,"$75,928","92584 / 46,346"
441,"$75,915","93110 / 17,321"
442,"$75,862",93067 / 641
443,"$75,750",95637 / 694
444,"$75,714",95697 / 554
445,"$75,671","91423 / 32,130"
446,"$75,556",95639 / 311
447,"$75,510","95006 / 9,162"
448,"$75,500","94546 / 43,448"
449,"$75,481","94579 / 21,842"
450,"$75,448","92562 / 63,293"
451,"$75,420","91724 / 25,405"
452,"$75,411","92672 / 35,041"
453,"$75,380","93066 / 3,179"
454,"$75,334","91403 / 24,353"
455,"$75,327","90035 / 31,399"
456,"$75,309","95219 / 28,354"
457,"$75,300","95366 / 16,734"
458,"$75,221","94952 / 35,081"
459,"$75,180","90504 / 32,777"
460,"$75,172","96161 / 18,475"
461,"$75,163",95625 / 200
462,"$75,160","93636 / 11,919"
463,"$75,031","90746 / 26,738"
464,"$74,797","92019 / 44,357"
465,"$74,637","92647 / 59,741"
466,"$74,583",95674 / 922
467,"$74,530","95829 / 25,786"
468,"$74,393","92071 / 55,362"
469,"$74,283","94564 / 18,704"
470,"$74,009","94949 / 16,386"
471,"$73,870","94591 / 54,530"
472,"$73,850","94610 / 29,734"
473,"$73,786","90230 / 33,090"
474,"$73,684","95687 / 65,781"
475,"$73,621","94924 / 1,434"
476,"$73,542",95439 / 566
477,"$73,433","93022 / 7,069"
478,"$73,373","90068 / 21,943"
479,"$73,352","92555 / 40,419"
480,"$73,333","95002 / 1,660"
481,"$73,125",95429 / 77
482,"$73,040","94518 / 26,647"
483,"$72,939","95368 / 14,474"
484,"$72,913","90048 / 22,409"
485,"$72,877","95126 / 34,618"
486,"$72,739","95628 / 40,767"
487,"$72,720","94558 / 67,967"
488,"$72,607",95444 / 774
489,"$72,479","92352 / 6,783"
490,"$72,465","92675 / 35,596"
491,"$72,459","95133 / 27,381"
491,"$72,459","95661 / 30,559"
493,"$72,452","95258 / 3,973"
494,"$72,411","94508 / 4,118"
495,"$72,366","90403 / 25,116"
496,"$72,279","94401 / 36,838"
497,"$72,276","90807 / 33,726"
498,"$72,255","91007 / 34,198"
499,"$72,218","95209 / 41,459"
500,"$72,212","93455 / 42,513"
501,"$72,204","96140 / 1,126"
502,"$72,192","91106 / 24,861"
503,"$72,168","91016 / 42,235"
504,"$72,161","95018 / 7,660"
505,"$72,156","95405 / 21,516"
506,"$72,120",95254 / 682
507,"$72,025","90803 / 30,805"
508,"$71,939","90240 / 26,287"
509,"$71,911","92123 / 29,240"
510,"$71,825","91710 / 83,042"
511,"$71,793","92882 / 70,188"
512,"$71,757","90745 / 57,727"
513,"$71,723","94545 / 30,936"
514,"$71,697","92253 / 38,462"
515,"$71,688","92270 / 17,634"
516,"$71,668","94014 / 48,536"
517,"$71,667","94933 / 1,069"
518,"$71,661","91941 / 33,474"
519,"$71,505","94112 / 83,032"
520,"$71,469","92624 / 6,450"
521,"$71,316","90232 / 15,353"
522,"$71,307","92122 / 44,602"
523,"$71,301",95417 / 170
524,"$71,296","91504 / 25,544"
525,"$71,278","90025 / 45,284"
526,"$71,177","94580 / 29,311"
527,"$71,063",95920 / 417
528,"$71,049","90036 / 36,425"
529,"$71,000","92358 / 1,127"
530,"$70,938","95633 / 3,247"
531,"$70,935","94501 / 62,571"
532,"$70,858","91351 / 32,433"
533,"$70,841","90601 / 34,143"
533,"$70,841","91791 / 33,174"
535,"$70,830","91040 / 20,017"
536,"$70,820","95648 / 48,869"
537,"$70,811","91104 / 38,421"
538,"$70,781",96128 / 758
539,"$70,724","93536 / 71,313"
540,"$70,721","94585 / 29,205"
541,"$70,692","95127 / 64,498"
542,"$70,417","95709 / 4,953"
543,"$70,408","91506 / 18,428"
544,"$70,380","92591 / 39,767"
545,"$70,261","92119 / 23,926"
546,"$70,230","93950 / 15,365"
547,"$70,220","94121 / 42,043"
548,"$70,096","95128 / 37,026"
549,"$70,003","95758 / 62,099"
550,"$69,966","92337 / 37,844"
551,"$69,942","90211 / 8,080"
552,"$69,872","95005 / 6,615"
553,"$69,760","95524 / 1,902"
554,"$69,750","95703 / 1,065"
555,"$69,702","92347 / 1,554"
555,"$69,702",95607 / 315
557,"$69,688","96114 / 3,315"
558,"$69,678","95023 / 50,625"
559,"$69,616","93003 / 51,454"
560,"$69,583","95677 / 22,808"
561,"$69,341","95050 / 37,714"
562,"$69,205","92003 / 4,306"
563,"$69,171","92344 / 21,392"
564,"$69,148","91356 / 29,847"
565,"$69,055","93723 / 9,271"
566,"$68,887","96145 / 3,215"
567,"$68,884","93013 / 15,944"
568,"$68,813","94602 / 29,794"
569,"$68,804","95472 / 29,408"
570,"$68,701","94572 / 9,648"
571,"$68,693","95110 / 19,239"
572,"$68,679","95831 / 41,597"
573,"$68,636",92378 / 166
573,"$68,636","95465 / 2,328"
575,"$68,620","92587 / 16,787"
576,"$68,346","90066 / 58,337"
577,"$68,333","92061 / 1,824"
578,"$68,261","92518 / 1,129"
579,"$68,108","92029 / 19,528"
580,"$68,078","93907 / 21,812"
581,"$68,027","92203 / 27,466"
582,"$67,917",93563 / 375
583,"$67,878","90755 / 11,400"
584,"$67,718","95117 / 32,074"
585,"$67,716","93940 / 33,760"
586,"$67,652","91020 / 9,249"
587,"$67,639","95316 / 6,733"
588,"$67,607","94519 / 19,927"
589,"$67,500","93449 / 7,789"
590,"$67,383","93103 / 20,271"
591,"$67,188","95004 / 3,886"
592,"$67,170","90039 / 27,843"
593,"$67,048","91740 / 26,324"
594,"$67,039","92612 / 29,325"
595,"$67,031",95017 / 654
596,"$67,025","92109 / 45,304"
597,"$67,019","92833 / 53,309"
598,"$67,001","95404 / 40,253"
599,"$66,983",93531 / 338
600,"$66,932",91917 / 896
601,"$66,875","92382 / 5,161"
602,"$66,848","91792 / 30,102"
603,"$66,825","92107 / 26,947"
604,"$66,775","92342 / 6,303"
605,"$66,771","93463 / 8,132"
606,"$66,750","95426 / 1,659"
607,"$66,711","95337 / 31,399"
608,"$66,706","90605 / 42,103"
609,"$66,679",93628 / 266
610,"$66,607","94132 / 31,926"
611,"$66,590","92374 / 40,911"
612,"$66,553","90631 / 68,899"
613,"$66,506","93420 / 30,076"
614,"$66,483","91978 / 9,812"
615,"$66,417","92059 / 1,450"
616,"$66,291","95620 / 21,005"
617,"$66,136","94599 / 3,187"
618,"$66,079","94805 / 14,329"
619,"$66,057","91790 / 46,059"
620,"$66,014","93422 / 31,899"
621,"$66,000","92008 / 26,464"
622,"$65,938",95668 / 752
623,"$65,793","92103 / 31,927"
624,"$65,769","95691 / 35,929"
625,"$65,735",93287 / 141
626,"$65,706","95467 / 6,168"
627,"$65,701","93036 / 44,277"
628,"$65,640","90604 / 39,541"
629,"$65,625",96006 / 400
630,"$65,425","95409 / 25,784"
631,"$65,319","92117 / 53,205"
632,"$65,297","92108 / 19,245"
633,"$65,208","95356 / 32,794"
634,"$65,156","93546 / 9,408"
635,"$65,122","95662 / 31,814"
636,"$65,114",95651 / 517
637,"$65,035","90404 / 21,641"
638,"$64,976","92057 / 55,618"
639,"$64,974","93446 / 44,288"
640,"$64,874","95382 / 37,163"
641,"$64,843","93023 / 20,603"
642,"$64,803","93313 / 43,644"
643,"$64,787","92040 / 42,323"
644,"$64,773","95843 / 47,172"
645,"$64,738","92223 / 46,719"
646,"$64,712","95442 / 3,154"
647,"$64,701","90715 / 20,283"
648,"$64,660","94577 / 45,808"
649,"$64,625","94931 / 8,570"
650,"$64,612","92321 / 1,244"
651,"$64,583",94512 / 214
652,"$64,545","90041 / 28,439"
653,"$64,479","95669 / 2,676"
654,"$64,375",95545 / 99
655,"$64,355","95242 / 26,187"
656,"$64,219",96085 / 50
657,"$64,140","92313 / 12,252"
658,"$64,089","92780 / 60,438"
659,"$64,034","95993 / 35,847"
660,"$63,948","92373 / 34,017"
661,"$63,934","93711 / 37,630"
662,"$63,901","95631 / 5,910"
663,"$63,871","92354 / 21,555"
664,"$63,833","90606 / 32,978"
665,"$63,816","95982 / 3,251"
666,"$63,750","92398 / 1,165"
666,"$63,750","95776 / 21,827"
668,"$63,740","91722 / 36,352"
669,"$63,728","92056 / 52,758"
670,"$63,722","91905 / 1,370"
671,"$63,721","95602 / 18,498"
672,"$63,610","92868 / 27,353"
673,"$63,604","95658 / 6,261"
674,"$63,544","91602 / 18,315"
675,"$63,529",95941 / 505
676,"$63,514","93428 / 6,348"
677,"$63,413","92585 / 20,148"
678,"$63,248","95330 / 17,702"
679,"$63,173","94109 / 54,768"
680,"$63,112","93440 / 1,472"
681,"$63,111","91202 / 23,007"
682,"$63,105","93675 / 2,808"
683,"$63,045","91780 / 35,274"
684,"$63,029","95403 / 44,918"
685,"$62,969","93427 / 5,279"
685,"$62,969","95678 / 41,929"
687,"$62,828","92806 / 39,616"
688,"$62,677","92879 / 48,654"
689,"$62,589","92866 / 15,473"
690,"$62,558","90305 / 15,501"
691,"$62,533","90502 / 17,135"
691,"$62,533","93555 / 32,967"
693,"$62,500","91501 / 19,829"
693,"$62,500",95043 / 636
695,"$62,424","95245 / 2,064"
696,"$62,384","95252 / 14,143"
697,"$62,372","91752 / 28,649"
698,"$62,365","95060 / 47,148"
699,"$62,262","95376 / 49,398"
700,"$62,253","95062 / 36,358"
701,"$62,230","93921 / 3,164"
702,"$62,182","94515 / 7,314"
703,"$62,180","95946 / 10,206"
704,"$62,109",92305 / 321
705,"$62,076","95448 / 17,078"
706,"$62,056","95223 / 3,042"
707,"$62,043","95692 / 4,812"
708,"$62,016","91316 / 28,190"
709,"$61,952","91730 / 66,979"
710,"$61,934","92840 / 56,291"
711,"$61,563","94571 / 8,171"
712,"$61,525","92595 / 31,139"
713,"$61,500","95113 / 1,163"
714,"$61,488","96062 / 1,253"
715,"$61,466","93601 / 2,457"
716,"$61,379","93444 / 19,578"
717,"$61,319","93239 / 1,950"
718,"$61,310",94573 / 142
719,"$61,308","93437 / 3,464"
720,"$61,296","91916 / 1,580"
721,"$61,270","91761 / 59,892"
722,"$61,255","95632 / 30,064"
723,"$61,250","95228 / 4,576"
724,"$61,157","96120 / 1,091"
725,"$60,959","91306 / 48,707"
726,"$60,952","94710 / 6,439"
727,"$60,920","92110 / 28,006"
728,"$60,899","91342 / 91,701"
728,"$60,899","95220 / 7,501"
730,"$60,896","91748 / 47,859"
731,"$60,802","90401 / 7,035"
732,"$60,750","95938 / 3,936"
733,"$60,724","93243 / 1,720"
734,"$60,720","95713 / 9,920"
735,"$60,660","95619 / 4,937"
736,"$60,655","92557 / 51,871"
737,"$60,648","95685 / 4,278"
738,"$60,625","92549 / 2,652"
739,"$60,587","93265 / 2,892"
740,"$60,579","95626 / 6,335"
741,"$60,556",95075 / 330
742,"$60,544","90701 / 16,698"
743,"$60,536","95064 / 8,425"
744,"$60,532","91723 / 20,010"
745,"$60,523","90650 / 106,521"
746,"$60,513","93561 / 34,246"
747,"$60,459","95949 / 19,640"
748,"$60,268","96103 / 1,357"
749,"$60,230","94134 / 40,343"
750,"$60,162","92154 / 86,740"
751,"$60,148","91345 / 18,196"
752,"$60,139",93517 / 796
753,"$60,124","91977 / 59,481"
754,"$60,118","91010 / 25,797"
755,"$60,100","95476 / 38,822"
756,"$60,089","94060 / 1,650"
757,"$60,000","93925 / 1,672"
758,"$59,995","92346 / 58,845"
759,"$59,965","95212 / 25,244"
760,"$59,878","90501 / 43,407"
761,"$59,844","95634 / 3,143"
762,"$59,832","95962 / 1,285"
763,"$59,738","93461 / 1,661"
764,"$59,728","92278 / 4,156"
765,"$59,699","94544 / 76,508"
766,"$59,679","92139 / 37,450"
767,"$59,628","94702 / 16,868"
768,"$59,545","95441 / 1,989"
769,"$59,502","91746 / 29,420"
770,"$59,412","92704 / 87,121"
771,"$59,375",95497 / 983
772,"$59,302","92399 / 54,056"
773,"$59,150","94709 / 12,030"
774,"$59,125","90024 / 50,117"
774,"$59,125","93602 / 4,207"
776,"$59,099","91103 / 27,684"
777,"$59,056","95367 / 24,045"
778,"$59,028","95615 / 1,090"
779,"$58,993","91324 / 29,178"
780,"$58,913","95959 / 17,013"
781,"$58,889",96096 / 814
782,"$58,854",93226 / 363
783,"$58,853","92832 / 25,247"
784,"$58,810","95470 / 6,874"
785,"$58,659","94595 / 16,837"
786,"$58,643",94567 / 730
787,"$58,613","94703 / 21,421"
